ID,CompanyFK,Score,Explanation,RecordedOn,RuleVersion
744,37,38.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
745,96,58.25,"Upload more product catalogues; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
746,105,60,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
747,139,50,"Upload an overview image; Upload more product catalogues; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
748,165,74,"Add more gallery images; Add more additional links; Add a tagline; ",2017-11-10 23:00:02.203,1
749,198,73,"Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
750,211,60,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
751,248,58.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a twitter handle; ",2017-11-10 23:00:02.203,1
752,249,64.75,"Upload more product catalogues; Add more additional links; Add more case studies; Add a tagline; ",2017-11-10 23:00:02.203,1
753,296,92.75,"Upload more product catalogues; Add a tagline; ",2017-11-10 23:00:02.203,1
754,302,71.5,"Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; ",2017-11-10 23:00:02.203,1
755,308,72,"Add more case studies; Add more additional contacts; ",2017-11-10 23:00:02.203,1
756,443,44.75,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
757,461,43.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add more additional contacts; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
758,486,67.5,"Upload more product catalogues; Add more gallery images; Add more additional links; Add more case studies; Add a tagline; Add a twitter handle; ",2017-11-10 23:00:02.203,1
759,487,75.5,"Add more additional links; Add more case studies; ",2017-11-10 23:00:02.203,1
